Name,FIPS,"% Male Population, 2017","% Female Population, 2017","Healthcare (Household Average), 2017","% Employment, Blue Collar, 2017","% Employment, White Collar, 2017","% Non-Family Population, 2017","Total Population, Median Age, 2017","% American Indian and Alaska Native Population, 2017","% White Non-Hispanic Population, 2017","% Hispanic Population, 2017","% White Population, 2017","% Black Population, 2017","% Asian Population, 2017","Median Household Income, 2017","% Education, High School, 2017","% Education, < High School, 2017","% Education Attainment, Bachelor's Degree, 2017","# Population, 2017","% Population, Males Never Married, 2017","% Employment, Unemployed, 2017"
"Mettler, CA",0647164,95.122,4.878,3800,22.7273,9.0909,0.813,37.3,0,21.9512,62.6016,82.1138,10.5691,0.813,46250,34.5133,51.3274,0.885,123,40.9091,8.3333
"Johannesburg, CA",0637400,91.0828,8.9172,4243.75,0,41.6667,5.7325,38.7,0.6369,14.0127,83.4395,93.6306,1.2739,2.5478,25000,22.449,41.4966,4.7619,157,37.2973,9.434
"Patton Village, CA",0656140,73.4007,26.5993,4705.7971,21.2329,62.3288,9.0909,37.5,3.8721,49.6633,18.1818,58.5859,19.3603,4.3771,67424,19.0574,9.4262,9.2213,594,21.7608,6.4103
"Milford, CA",0647472,73.0496,26.9504,4721.2121,22.8571,60,9.2199,37.8,4.2553,51.773,18.4397,58.156,19.1489,4.2553,71429,19.0083,9.0909,8.2645,141,21.3793,5.4054
"Calipatria, CA",0609878,72.0414,27.9586,4246.9756,24.3827,32.3045,5.1448,33,0.9379,9.9586,69.4621,43.5586,16.1103,1.8069,42189,29.5566,39.6953,2.774,7250,46.1486,19.0674
"Susanville, CA",0677364,71.2837,28.7163,4403.2342,9.5451,58.5822,11.5807,34.1,3.9518,53.1405,24.4766,62.4117,11.8621,2.3292,61874,26.7492,24.238,7.5789,15284,38.9562,6.4735
"Corcoran, CA",0616224,71.1343,28.8657,4124.749,28.5937,31.2451,4.6571,34,1.4872,14.8308,67.9962,32.1221,11.4653,0.8687,39903,26.2904,41.5334,2.7602,21988,37.7827,9.0544
"Camp Pendleton South, CA",0610561,69.502,30.498,3551.683,11.0442,60.6426,0.4962,21.6,1.7278,58.2137,23.3564,73.0906,8.6124,4.3239,57603,24.8283,0.7228,14.9982,11286,47.7268,4.4146
"Camp Pendleton North, CA",0610559,69.5007,30.4993,3547.0067,11.0656,60.6557,0.4884,21.6,1.7185,58.2308,23.3538,73.1187,8.6107,4.3234,57338,24.8159,0.7364,15.0221,5528,47.713,4.3137
"Soledad, CA",0672520,69.2922,30.7078,4535.0412,20.3062,29.802,2.2363,34.5,1.586,8.1733,74.0045,48.4426,10.5351,3.518,61697,25.8561,47.5079,2.4396,26293,38.4927,7.0175
