Name,FIPS,"Healthcare ($000), 2017","Movies, parks, museums ($000), 2017","Social, recreation, health club membership ($000), 2017","Entertainment ($000), 2017","% Population in Poverty, Total, 2017","Prescription drugs ($000), 2017","HEALTH CARE AND SOCIAL ASSISTANCE (# Businesses) [NAICS 62], 2017"
"Los Angeles, CA",0644000,5618947.6,95302.9,257014,3950565.2,23.7693,313595.1,11865
"San Diego, CA",0666000,2288394.4,40947.8,117262.2,1677812,16.7298,123909.1,4337
"San Francisco, CA",0667000,1637592.3,33003.5,93819.2,1248373.8,14.9881,83909.5,3258
"San Jose, CA",0668000,1530506.5,31152.3,86203.4,1152477.2,13.1806,76284.7,2510
"Sacramento, CA",0664000,747074.8,12602.2,31300.7,513386.7,23.5164,41057.5,1256
"Long Beach, CA",0643000,688329.3,11697.4,31018.9,485641,23.1837,38036.4,1262
"Fresno, CA",0627000,683719.8,10772.2,27200,458547.1,30.3838,39100.7,1591
"Oakland, CA",0653000,624765.6,11115.8,27728.4,443505.5,21.2808,33545.5,1279
"Bakersfield, CA",0603526,519787,8472.2,23389,364359.7,21.8396,29154.8,1014
"Anaheim, CA",0602000,465699.9,8156.6,21699.9,327552,17.2968,25165,923
"Riverside, CA",0662000,435141.6,7102.2,19288.6,302860.6,19.6605,24534.5,843
"Huntington Beach, CA",0636000,391892.5,7083.9,22879,296878.8,9.6816,21717.1,680
"Irvine, CA",0636770,391509.7,8511.6,24039.2,307392.2,12.6557,18763.9,1260
"Stockton, CA",0675000,390494,6493.8,15429.6,261327.3,26.3954,21541.3,650
"Fremont, CA",0626000,373395.3,8619.2,22322.6,288435,5.8909,16835.4,679
"Chula Vista, CA",0613392,371670.2,6453.2,17417.9,263544,11.5521,20088.7,557
"Santa Ana, CA",0669000,342134.3,5720.9,14322,232261.9,22.5712,18654.2,738
"Glendale, CA",0630000,341087.1,5818.3,16304.2,238649.9,15.0032,19300.5,1089
"Modesto, CA",0648354,322961.9,5031.4,13595.1,218650.4,22.6932,18844.9,683
"Santa Rosa, CA",0670098,310549.5,4961.3,14701.9,218475.5,15.2307,18199.6,692
"Santa Clarita, CA",0669088,309691.1,5512,17373.4,233462.6,9.9756,16920.2,494
"Oceanside, CA",0653322,293581,4774.6,13609.4,205673.2,13.8894,16822.6,315
"Torrance, CA",0680000,275310,5331.2,14392.6,200183.7,8.9049,14292.8,1031
"Sunnyvale, CA",0677000,272290.4,6128.9,16764.4,213404.2,7.8327,12704.2,412
"Rancho Cucamonga, CA",0659451,268453.6,4833.6,14227.5,200296.7,6.8801,14330.9,464
"Thousand Oaks, CA",0678582,253587.5,4678.6,16366.4,198899.8,7.4823,14156.1,649
"Pasadena, CA",0656000,247820,4512.4,13080.9,183189.4,15.156,13489.7,1056
"Roseville, CA",0662938,244518.1,4238.5,13136.1,180744,9.4533,13651.7,529
