Name,FIPS,"Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017"
"92677, Laguna Niguel, CA",92677,106066.7,1.3274,10.3522,8893.4,7253.6,133176.3
"94109, San Francisco, CA",94109,105907.3,4.0346,31.4408,7626.9,7443.2,140882.8
"95630, Folsom, CA",95630,104529.6,5.39,14.7721,8143.3,7100.6,134443.2
"94110, San Francisco, CA",94110,100582.3,3.3119,14.2606,7763.9,6796.6,128739.3
"93065, Simi Valley, CA",93065,95389.8,1.409,8.8644,7497.5,6751.5,123402.3
"91709, Chino Hills, CA",91709,93655.6,4.5315,33.4119,7154.5,5923.1,121490.2
"94558, Napa, CA",94558,93333.9,1.061,3.2599,6872.6,7507.7,128358.6
"90046, Los Angeles, CA",90046,93273.7,3.575,6.0959,6778.7,6961.1,123483.6
"92592, Temecula, CA",92592,93179.1,3.9876,11.4619,6775.8,6575.6,123829.4
"94087, Sunnyvale, CA",94087,93160.4,1.5145,49.8815,7695.1,5385.7,116392.5
"94536, Fremont, CA",94536,91755.6,3.7288,42.5451,6906.3,5830.8,121039.2
"95014, Cupertino, CA",95014,91712.2,0.6468,66.5326,7857.9,4863.1,112567.8
"94501, Alameda, CA",94501,88321.9,6.9224,32.6295,6251.8,6313.4,120614.9
"92130, San Diego, CA",92130,87062.3,0.9194,28.6853,7634.4,4936.4,103088.9
"95608, Carmichael, CA",95608,86910.9,5.2987,5.8138,5874.3,7445.7,124656.3
"90650, Norwalk, CA",90650,86689.9,4.3352,13.5689,5383.8,7123.8,128000
"94122, San Francisco, CA",94122,85764.6,1.3523,52.7226,6337.7,5616,115031.7
"91910, Chula Vista, CA",91910,85420.6,4.7772,11.7963,5406.2,7055,124075.7
"92646, Huntington Beach, CA",92646,85046.1,0.8362,12.9698,6529.9,6414.9,113668.1
"95123, San Jose, CA",95123,84210.3,4.3969,22.0656,6270.5,5770.5,111371.6
"95125, San Jose, CA",95125,84080.7,3.3234,13.7762,6888.5,5720.6,106416.1
"92630, Lake Forest, CA",92630,83004.1,1.8957,14.8428,6386.8,5829,108673.2
"92024, Encinitas, CA",92024,82883.4,0.7329,4.9901,6666.6,5970.1,106307.8
"92683, Westminster, CA",92683,81560.6,0.9861,51.1426,5269.9,6164.3,120976
"92109, San Diego, CA",92109,81189.6,1.6824,4.4539,5861.4,5789.8,105794.8
"90066, Los Angeles, CA",90066,80828.6,4.4182,15.3641,5902.4,5879.3,108528.2
"95051, Santa Clara, CA",95051,80101.2,2.3609,43.7377,6254.6,4891,102836.2
"92648, Huntington Beach, CA",92648,80031.4,0.7792,12.1407,6442.8,5588.2,102250.3
"92336, Fontana, CA",92336,79846,13.4653,12.2404,5428.7,5532.1,107906.8
"92503, Riverside, CA",92503,78984.5,5.1796,7.4013,4999.4,6414.8,114320
"95747, Roseville, CA",95747,78974.5,2.5476,13.1277,5959.6,5793,104956.6
"92126, San Diego, CA",92126,78953.6,4.6706,48.5026,5432.2,5084,107614.1
"94565, Pittsburg, CA",94565,78924.7,15.907,16.5558,4787.4,6221.8,114840.6
"94550, Livermore, CA",94550,78322.8,1.9978,9.4481,6429.5,5355,98821.5
"94538, Fremont, CA",94538,78287.2,3.7967,46.8288,5563.1,4874,105284.5
"92562, Murrieta, CA",92562,78162.5,4.6938,8.1101,5673.1,5834.6,105626.9
"94112, San Francisco, CA",94112,77993.9,3.7542,51.3033,5352.1,5500.8,110696.9
"92656, Aliso Viejo, CA",92656,77751.5,2.134,16.8717,6154.4,4894.5,96951
"95687, Vacaville, CA",95687,77639.1,11.9098,7.9492,5384.7,5926.1,106436.8
"92128, San Diego, CA",92128,77504.7,2.3592,24.0196,5922,5586.4,102836.6
"91342, Sylmar, CA",91342,77468.5,4.9628,6.1136,4857.5,6424.8,113459
"90250, Hawthorne, CA",90250,77153.6,25.0041,9.2399,4191.3,6354.8,114765.5
"93063, Simi Valley, CA",93063,76979.3,1.3616,10.0327,5804.5,5678.8,102270.7
"94587, Union City, CA",94587,76111.2,5.8342,55.0995,5472.9,4749.9,103133
"94513, Brentwood, CA",94513,75797.4,6.8384,9.6461,5662.7,5405.9,99893.6
"92021, El Cajon, CA",92021,75553,5.8485,3.9815,4640.9,6545.5,111790.5
"92129, San Diego, CA",92129,75305.2,2.7282,34.2,6074.6,4597.8,94627.3
"92627, Costa Mesa, CA",92627,75210.6,1.2891,4.8712,5201.4,5763,103272.1
"90631, La Habra, CA",90631,74863.8,1.7334,11.0069,5196.3,5920.8,105401.2
"91911, Chula Vista, CA",91911,74694.1,4.1545,9.2739,4501.8,6458,112154
"93312, Bakersfield, CA",93312,74653.6,2.5206,7.4686,5614.2,5140.2,96883.3
"92692, Mission Viejo, CA",92692,74537.1,1.2852,11.6283,6033.8,5292.6,95669.1
"90049, Los Angeles, CA",90049,73775.3,1.7246,9.8959,6583.8,4785.3,88338.4
"90034, Los Angeles, CA",90034,73756.6,10.1814,20.8509,4805.5,5281.8,101701
"95124, San Jose, CA",95124,73721.7,1.7919,16.4576,6049.2,4951.3,93269.3
"95355, Modesto, CA",95355,73601.5,3.8985,9.3257,4816.1,6060.2,105731.1
"95648, Lincoln, CA",95648,73566.2,1.5265,7.5419,5109.4,6171.6,104701.8
"94080, South San Francisco, CA",94080,73325.5,2.2267,40.8265,5176,5186.7,102063.6
"90025, Los Angeles, CA",90025,73145.5,2.8894,21.3713,5404.4,4951.6,95234.1
"92882, Corona, CA",92882,73060.7,4.3803,10.4684,5144,5321.2,99125.5
"92345, Hesperia, CA",92345,73012.7,5.3301,2.2641,4235.6,6650.6,111669.4
"93722, Fresno, CA",93722,72969.2,9.597,14.6371,4418.9,5799,106445
"93536, Lancaster, CA",93536,72920.6,13.9385,6.238,4962.6,5649.2,100856.4
"90026, Los Angeles, CA",90026,72465.4,3.013,19.2428,4498.1,5733.7,104947.5
"94539, Fremont, CA",94539,72209.7,1.071,73.0313,6237.4,3628.5,88042.7
"91710, Chino, CA",91710,72157.5,5.4282,10.4227,4840.7,5609,101638.9
"92071, Santee, CA",92071,72070.8,2.1822,4.8916,4964.5,5718.8,100268
"95008, Campbell, CA",95008,72063.9,3.3326,20.552,5506.4,4970.5,94220.7
"92037, La Jolla, CA",92037,71667.6,1.222,17.4473,6148.7,5024.7,89542.2
"94566, Pleasanton, CA",94566,71626,1.4837,20.7702,6142.1,4589.8,88046.8
"91730, Rancho Cucamonga, CA",91730,71619.7,11.3043,11.6451,4542.1,5436.8,100703.6
"92117, San Diego, CA",92117,71492.7,2.2861,11.3003,4917,5699.9,99994.6
"95624, Elk Grove, CA",95624,71433.4,8.6979,27.5059,5103.7,4957.8,96560.5
"92647, Huntington Beach, CA",92647,71269.2,1.4787,15.9298,5102.9,5298,97185.4
"95035, Milpitas, CA",95035,71215.3,2.9322,64.8649,5315.3,4036.6,94184.5
"95076, Watsonville, CA",95076,71069.5,0.8976,3.6703,4513.8,6096.4,104647.3
"94114, San Francisco, CA",94114,70899.2,1.9104,12.0517,6197.7,4332.3,83348.6
"92056, Oceanside, CA",92056,70863.3,3.9912,8.6418,4812.1,5869.9,100968.6
"94117, San Francisco, CA",94117,70455.4,6.0208,12.5265,5729.3,4329.5,84719.2
"95758, Elk Grove, CA",95758,70266.1,13.5361,27.0426,4773,4859.5,95880
"94611, Oakland, CA",94611,70247,8.4741,16.1801,5819.2,4650.9,87388.2
"92804, Anaheim, CA",92804,70237.5,3.4269,25.3857,4312.6,5606,104108.8
"94553, Martinez, CA",94553,69814.4,3.8149,9.9224,5080.8,5321.8,94628
"92064, Poway, CA",92064,69806.7,1.7927,12.1877,5555.1,4944,90512.5
"94544, Hayward, CA",94544,69537.4,10.5498,25.8843,4343.5,5236,100494.6
"94533, Fairfield, CA",94533,69439.2,17.2925,15.4591,4201.7,5582.8,100857.9
"94025, Menlo Park, CA",94025,69259,3.8797,13.5642,6035.6,4484.3,84410.4
"90275, Rancho Palos Verdes, CA",90275,69100.4,2.8412,30.9831,5925.6,4649.8,87413.2
"92886, Yorba Linda, CA",92886,68951.3,1.3494,16.2751,5681.8,4745.4,87794.3
"92122, San Diego, CA",92122,68503.8,1.6872,35.2787,5010,4547.5,89987.8
"94015, Daly City, CA",94015,68312.6,3.0474,64.2669,4737.5,4429.4,95411
"92708, Fountain Valley, CA",92708,68306,0.9401,37.2916,5056.7,4948.5,93640.6
"90277, Redondo Beach, CA",90277,68280.5,2.0886,11.4219,5545,4675.2,85840.5
"92691, Mission Viejo, CA",92691,68075.3,1.4163,9.5112,5314.2,4917.6,88911.6
"93003, Ventura, CA",93003,67942.1,1.6878,4.2017,4833.3,5492.1,93956.2
"91331, Pacoima, CA",91331,67898,3.425,5.4145,3887.4,6004.4,104178.6
"94010, Burlingame, CA",94010,67842,0.97,27.1432,5777.7,4441.3,85332.5
"91335, Reseda, CA",91335,67781.4,4.0298,13.6909,4168.1,5683.1,100254.5
"90027, Los Angeles, CA",90027,67774.9,3.2158,14.3137,4535.6,5347.9,95099.1
"90280, South Gate, CA",90280,67573.3,1.0294,1.1021,3749.5,6127.5,104799.3
"91320, Newbury Park, CA",91320,67513.7,1.2666,10.7408,5585.7,4613.6,85103
"95628, Fair Oaks, CA",95628,67479.5,2.368,4.8476,4916.9,5420.9,92808.3
"92688, Rancho Santa Margarita, CA",92688,66882.6,2.099,12.1785,5205.3,4331,84254.9
"93230, Hanford, CA",93230,66825.2,4.1228,4.0261,4207.3,5600.8,97102.1
"93306, Bakersfield, CA",93306,66779.6,3.9686,2.8316,4222.1,5721.5,97901.6
"92009, Carlsbad, CA",92009,66703.7,1.2914,9.3687,5425,4579.8,84600.7
"90278, Redondo Beach, CA",90278,66623.6,3.0613,15.0539,5525.3,4295.5,82168.1
"92880, Corona, CA",92880,66459.5,8.5118,22.3955,4928.5,4157.4,85534.1
"92335, Fontana, CA",92335,66144.7,5.3281,2.4592,3677.9,5834.6,101452.3
"92399, Yucaipa, CA",92399,65972.2,1.7708,3.5291,4428.1,5647.9,95166
"92660, Newport Beach, CA",92660,65829.1,0.9335,8.6821,5778.5,4480.1,80794
"90201, Bell, CA",90201,65720.9,1.0344,0.9715,3448.8,6019.8,103449.8
"92626, Costa Mesa, CA",92626,65611,2.03,15.5002,4751.2,4662.5,87404.7
"94509, Antioch, CA",94509,65410.8,14.0684,7.6662,3991.5,5513.6,96005.5
"94521, Concord, CA",94521,65353,3.0386,15.7085,4925.2,4790.4,87140.5
"94568, Dublin, CA",94568,65250,8.914,29.9644,5286.4,3817,80295.8
"93720, Fresno, CA",93720,65021.3,3.924,14.7208,4744.6,4780.1,87436.9
"90706, Bellflower, CA",90706,65002.6,13.7479,13.7314,3724.3,5423.8,97497.2
"90803, Long Beach, CA",90803,64874.8,3.098,6.6847,4905.1,4817.5,85263.3
"95020, Gilroy, CA",95020,64762.2,2.0172,8.3437,4780,4747.5,86715.9
"90036, Los Angeles, CA",90036,64564.4,6.5325,21.6723,4772.8,4249.6,82826
"92704, Santa Ana, CA",92704,64499.6,1.7022,18.5473,3964.4,5105.9,95530.2
"90805, Long Beach, CA",90805,64190.5,20.2729,14.1934,3492.2,5291.5,96646
"92780, Tustin, CA",92780,64189.3,2.5658,15.8417,4387.9,4851.9,89553.5
"91344, Granada Hills, CA",91344,64071.3,3.4342,19.1864,4626.3,4892.5,88343.2
"94403, San Mateo, CA",94403,64038.9,1.8493,26.9639,5092.5,4243.7,82341.6
"92563, Murrieta, CA",92563,63722.4,7.2309,14.412,4376.7,4618.6,87254.2
"94086, Sunnyvale, CA",94086,63681.7,2.537,45.6901,4933.9,3692,80851.2
"94121, San Francisco, CA",94121,63547.8,1.5746,48.9783,4632.2,4375.9,87181.6
"92057, Oceanside, CA",92057,63410.2,6.3655,11.6381,4321.1,4940.7,88638.8
"94583, San Ramon, CA",94583,63393.4,2.489,25.4498,5442.5,3814.9,76652.5
"95762, El Dorado Hills, CA",95762,63371.8,1.7723,10.7475,5391.1,4192.4,78258.3
"92104, San Diego, CA",92104,63337.4,9.7179,7.1448,3882.8,5073,90185.7
"94118, San Francisco, CA",94118,63246.5,1.7486,38.4958,4890.9,4121.1,82261
"93257, Porterville, CA",93257,63174.9,1.2463,4.8081,3624.9,5735.6,97022
"90731, San Pedro, CA",90731,63153,7.2187,5.5921,3920.2,5366.1,92186.4
"92509, Riverside, CA",92509,62977.3,3.8953,3.123,3809.9,5420.9,93911.8
"95037, Morgan Hill, CA",95037,62839.4,2.003,12.2475,5052,4348.6,80798.7
"92101, San Diego, CA",92101,62806.6,9.6068,8.5626,4266,4764.1,85075
"93309, Bakersfield, CA",93309,62659.3,11.1726,4.8332,3764.3,5367.3,92500
"95120, San Jose, CA",95120,62612.5,1.0614,33.8937,5653.6,3735.7,75284
"94591, Vallejo, CA",94591,62588.9,17.6721,34.6626,4242.7,4423,86262.7
"92020, El Cajon, CA",92020,62588.6,6.6143,4.7433,3949.4,5307.8,91204.1
"93274, Tulare, CA",93274,62497,3.9519,2.319,3715.1,5456.2,93717.4
"94115, San Francisco, CA",94115,62466.5,12.1334,21.2218,4823.1,4172.1,79260.3
"90266, Manhattan Beach, CA",90266,62416.5,0.9894,9.3242,5673,3913.1,73557.4
"95670, Rancho Cordova, CA",95670,62360.2,8.9135,12.7876,4003.2,5147.9,90348.1
"94546, Castro Valley, CA",94546,62283.6,6.1914,19.9861,4579.8,4640.2,84527
"91360, Thousand Oaks, CA",91360,62270.4,1.2624,6.5953,5013.3,4641.9,80904.5
"94123, San Francisco, CA",94123,62178.8,0.7826,12.5954,5467.8,3656.4,71947.9
"94541, Hayward, CA",94541,61891.3,14.0437,16.4951,3780.8,4868.2,89485.1
"92870, Placentia, CA",92870,61775.5,2.0766,17.635,4524.8,4540.2,83505.9
"90630, Cypress, CA",90630,61701.4,3.1864,34.4617,4454.3,4381.1,84681.9
"90503, Torrance, CA",90503,61174.3,2.4667,42.1694,4445.1,4230.1,83568.6
"92154, San Diego, CA",92154,61040.4,5.7815,14.8899,3695.7,5089.4,91290.8
"91744, La Puente, CA",91744,61022.1,1.7584,11.0364,3606.4,5239.4,92963.3
"95678, Roseville, CA",95678,60663.3,2.0718,8.8367,4091.2,4722.3,84506.1
"92253, La Quinta, CA",92253,60471.8,1.9121,3.4849,4524.9,4952.3,83363.1
"93010, Camarillo, CA",93010,60250.3,1.991,8.0599,4614.2,4620.3,80471
"95831, Sacramento, CA",95831,60114.8,13.6562,31.7663,4076.6,4468.5,84253.1
"94941, Mill Valley, CA",94941,60034.7,1.0275,7.3417,5266,4156.5,73995.9
"95060, Santa Cruz, CA",95060,60021.5,2.2109,7.2064,4434.9,4557.1,79929.1
"92620, Irvine, CA",92620,59929.7,1.4971,44.5365,4843.6,3532.2,75238
"94116, San Francisco, CA",94116,59888.4,1.0235,58.1349,4606.6,3898,80201.4
"90042, Los Angeles, CA",90042,59802.4,2.6301,13.4368,3723.7,4881.6,87543.7
"93551, Palmdale, CA",93551,59555.8,11.4415,8.5214,4241.2,4405,80602.9
"94901, San Rafael, CA",94901,59531.5,1.5966,5.9257,4702.2,4415.4,77686.4
"92131, San Diego, CA",92131,59503.9,2.4726,25.7012,5177.7,3485.2,71113.9
"95112, San Jose, CA",95112,59452.2,4.6474,26.7144,3887.4,4355.7,83341.1
"90024, Los Angeles, CA",90024,59421.6,2.3652,28.1636,4581.4,4097,76098.7
"92103, San Diego, CA",92103,59416.4,3.3239,7.101,4237.8,4539.1,80008.3
"91367, Woodland Hills, CA",91367,59312.6,4.6029,13.6131,4468.2,4386.1,78943.7
"92346, Highland, CA",92346,59258.8,11.857,8.7498,3985.7,4689.6,83243.3
"95136, San Jose, CA",95136,59181.9,5.2348,31.1778,4392.1,3924.3,78291.4
"90808, Long Beach, CA",90808,59081,3.6685,9.8271,4545.1,4368.8,77942.4
"92506, Riverside, CA",92506,58994.2,6.2326,5.985,4437.2,4511.4,79199.7
"91362, Thousand Oaks, CA",91362,58782.7,1.4005,9.1075,4915.2,4102.3,74133.7
"91977, Spring Valley, CA",91977,58737,13.4456,11.0582,3699.8,4744.7,84692.1
"94404, San Mateo, CA",94404,58533.4,1.7226,49.897,4829,3383.6,72493.9
"90004, Los Angeles, CA",90004,58364.7,3.5842,28.8828,3528.2,4605.9,86575.6
"92649, Huntington Beach, CA",92649,58321,0.7734,11.7057,4612.7,4261.8,76124.6
"93727, Fresno, CA",93727,58132.7,6.6611,22.0841,3450.2,4754.7,86378.7
"93308, Bakersfield, CA",93308,58107.8,1.5348,2.3791,3665.4,5075.2,85456.8
"95403, Santa Rosa, CA",95403,57983.3,3.4005,6.3511,3955.4,4722,81506.9
"95404, Santa Rosa, CA",95404,57971.5,2.5764,5.1334,4165.9,4683,80059.4
"93277, Visalia, CA",93277,57753.9,2.5105,3.9587,3677.7,4965,84318.1
"92078, San Marcos, CA",92078,57739.5,2.3651,10.1052,4070.2,4623.3,80857.9
"92026, Escondido, CA",92026,57702.9,2.7238,8.5759,3830.5,4850.3,83361.3
"94582, San Ramon, CA",94582,57468.7,3.238,50.2096,4947.2,2984.1,68109.7
"92019, El Cajon, CA",92019,57391.7,3.8183,4.641,4093.3,4552.2,79209.8
"94551, Livermore, CA",94551,57148.4,2.3689,13.1198,4478.8,3819.1,72944.7
"90815, Long Beach, CA",90815,57012.3,4.6361,12.8637,4300.2,4192.7,75268.6
"94577, San Leandro, CA",94577,56964.9,12.8702,28.3716,3690.3,4354.6,81196.5
"91745, Hacienda Heights, CA",91745,56672.7,1.3638,39.3687,3924.2,4167.5,81267.2
"92504, Riverside, CA",92504,56654.5,6.2171,4.4569,3514.9,4903.5,83587.4
"92705, Santa Ana, CA",92705,56616.6,1.5705,8.4655,4520.2,4136.7,74218.9
"92115, San Diego, CA",92115,56612.6,11.7571,16.7687,3366.1,4577,82232.4
"91765, Diamond Bar, CA",91765,56575,4.3185,53.6504,4186.5,3584.8,76200
"94044, Pacifica, CA",94044,56533.9,2.4744,23.8083,4400.6,3897.1,73344
"95129, San Jose, CA",95129,56440.8,1.564,60.0522,4559.1,3267.1,72116
"92028, Fallbrook, CA",92028,56179.4,1.553,3.1381,3871.1,4801.5,80425.8
"90640, Montebello, CA",90640,56119.3,0.9749,12.4209,3424.9,4901.7,84876.2
"95127, San Jose, CA",95127,56055,2.4634,24.3688,3820.3,4217,79449.6
"94526, Danville, CA",94526,56041.8,0.8954,11.0936,4880.3,3767.6,68960
"94040, Mountain View, CA",94040,56035.6,1.9651,31.2675,4545.9,3441.8,70082.4
"93611, Clovis, CA",93611,56026.6,2.3751,12.0716,3935.8,4250.2,76849.4
"93436, Lompoc, CA",93436,55987.6,6.7226,4.9725,3552.7,4761,81495.1
"90703, Cerritos, CA",90703,55981.3,6.4645,62.2383,4029.7,3669,78117.3
"94070, San Carlos, CA",94070,55979.7,0.8738,14.549,4897.1,3660.4,68623.4
"90019, Los Angeles, CA",90019,55973.6,23.4848,16.4056,3210.3,4553.1,82715.9
"95823, Sacramento, CA",95823,55864.4,22.1808,27.7355,2829.3,4739,87621.4
"92807, Anaheim, CA",92807,55855.1,2.131,18.4696,4447.3,3915,72442.1
"94523, Pleasant Hill, CA",94523,55751.5,2.1711,15.9211,4257.8,4085.9,73801.6
"92376, Rialto, CA",92376,55607.2,15.4698,2.791,3016.4,4964.7,85498.7
"93446, Paso Robles, CA",93446,55515,1.6431,2.4339,3795.2,4636.6,78957.9
"92027, Escondido, CA",92027,55371.9,2.4032,7.2889,3624.4,4573,80094.8
"95350, Modesto, CA",95350,55350.2,3.676,6.2409,3327,5054.5,83697.8
"95610, Citrus Heights, CA",95610,55300.4,3.4073,4.1604,3466.7,4677.8,80539.7
"93535, Lancaster, CA",93535,55238.1,20.9198,3.4368,3025.1,4900.6,84458.9
"90638, La Mirada, CA",90638,55230.4,2.2681,19.6346,3933.8,4290.3,77272.7
"94066, San Bruno, CA",94066,55209.4,2.0786,32.9808,3980.1,3910.3,75421.2
"92040, Lakeside, CA",92040,55184.9,1.6468,2.3828,3785.7,4519.9,77596.4
"93550, Palmdale, CA",93550,55179,15.1446,2.89,3009.9,4849.3,84177.1
"93455, Santa Maria, CA",93455,54841.3,2.2225,6.006,3834.9,4509.9,77267.1
"92801, Anaheim, CA",92801,54829.3,4.028,19.4743,3337.8,4378,80989.2
