"","zip","Entertainment ($000), 2017","% Black Population, 2017","% Asian Population, 2017","Social, recreation, health club membership ($000), 2017","Prescription drugs ($000), 2017","Healthcare ($000), 2017","suicides","city","state","latitude","longitude"
"1","92677",106066.7,1.3274,10.3522,8893.4,7253.6,133176.3,83,"Laguna Niguel","CA",33.531938,-117.7025
"2","94109",105907.3,4.0346,31.4408,7626.9,7443.2,140882.8,109,"San Francisco","CA",37.792778,-122.42188
"3","95630",104529.6,5.39,14.7721,8143.3,7100.6,134443.2,72,"Folsom","CA",38.672127,-121.15783
"4","94110",100582.3,3.3119,14.2606,7763.9,6796.6,128739.3,93,"San Francisco","CA",37.74873,-122.41545
"5","93065",95389.8,1.409,8.8644,7497.5,6751.5,123402.3,96,"Simi Valley","CA",34.265003,-118.77177
"6","91709",93655.6,4.5315,33.4119,7154.5,5923.1,121490.2,57,"Chino Hills","CA",33.975267,-117.72305
"7","94558",93333.9,1.061,3.2599,6872.6,7507.7,128358.6,103,"Napa","CA",38.337243,-122.30027
"8","90046",93273.7,3.575,6.0959,6778.7,6961.1,123483.6,86,"Los Angeles","CA",34.098908,-118.36241
"9","92592",93179.1,3.9876,11.4619,6775.8,6575.6,123829.4,72,"Temecula","CA",33.495343,-117.07657
"10","94087",93160.4,1.5145,49.8815,7695.1,5385.7,116392.5,57,"Sunnyvale","CA",37.350091,-122.03602
"11","94536",91755.6,3.7288,42.5451,6906.3,5830.8,121039.2,64,"Fremont","CA",37.562218,-121.99433
"12","95014",91712.2,0.6468,66.5326,7857.9,4863.1,112567.8,49,"Cupertino","CA",37.317909,-122.04779
"13","94501",88321.9,6.9224,32.6295,6251.8,6313.4,120614.9,83,"Alameda","CA",37.769528,-122.25937
"14","92130",87062.3,0.9194,28.6853,7634.4,4936.4,103088.9,39,"San Diego","CA",32.946776,-117.21918
"15","95608",86910.9,5.2987,5.8138,5874.3,7445.7,124656.3,136,"Carmichael","CA",38.628371,-121.32702
"16","90650",86689.9,4.3352,13.5689,5383.8,7123.8,128000,70,"Norwalk","CA",33.906914,-118.08339
"17","94122",85764.6,1.3523,52.7226,6337.7,5616,115031.7,62,"San Francisco","CA",37.75838,-122.48478
"18","91910",85420.6,4.7772,11.7963,5406.2,7055,124075.7,74,"Chula Vista","CA",32.638654,-117.06686
"19","92646",85046.1,0.8362,12.9698,6529.9,6414.9,113668.1,74,"Huntington Beach","CA",33.666269,-117.9693
"20","95123",84210.3,4.3969,22.0656,6270.5,5770.5,111371.6,66,"San Jose","CA",37.244426,-121.83246
