Name,FIPS,"% Male Population, 2017","% Female Population, 2017","Healthcare (Household Average), 2017","% Employment, Blue Collar, 2017","% Employment, White Collar, 2017","% Non-Family Population, 2017","Total Population, Median Age, 2017","% American Indian and Alaska Native Population, 2017","% White Non-Hispanic Population, 2017","% Hispanic Population, 2017","% White Population, 2017","% Black Population, 2017","% Asian Population, 2017","Median Household Income, 2017","% Education, High School, 2017","% Education, < High School, 2017","% Education Attainment, Bachelor's Degree, 2017"
"92140, San Diego, CA",92140,99.1718,0.8282,4385.7143,8,48,0,21.6,2.0112,66.3117,20.0532,78.5566,4.7619,3.6676,116667,22.9299,3.1847,24.2038
"93528, Johannesburg, CA",93528,91.3902,8.6098,4196.124,0,43.0809,5.6082,38.4,0.7109,14.139,83.5703,93.9179,1.0269,2.8436,29583,22.6804,40.2062,5.2405
"92134, San Diego, CA",92134,81.5534,18.4466,4284.6154,0,0,6.3107,23.6,2.9126,48.0583,18.4466,54.3689,16.5049,12.6214,91667,87.1795,1.2821,2.5641
"95669, Plymouth, CA",95669,76.264,23.736,4936.2626,20.4694,55.8018,7.1504,43.2,2.179,52.1895,26.6977,70.4252,14.1739,1.5232,67922,27.5521,27.7083,8.9844
"92145, San Diego, CA",92145,75.1634,24.8366,3608.2707,10.5263,69.4737,0.2905,21.9,1.5251,55.0472,21.8591,67.6834,10.8206,5.8097,62500,32,2.1538,6.7692
"92257, Niland, CA",92257,74.8229,25.1771,4429.7391,0.578,27.1676,19.564,47,0.9809,44.7956,34.1144,67.6839,18.2016,1.4169,26395,45.0549,28.9377,2.0757
"91917, Dulzura, CA",91917,74.0154,25.9846,5330.4038,14.7619,72.5397,6.1216,36.1,0.8134,41.2671,39.8545,64.4692,12.4572,4.1096,90530,25.392,23.6429,8.9867
"96121, Milford, CA",96121,73.3333,26.6667,4689.9471,21.1055,62.8141,9.2593,37.7,3.8272,49.8765,18.1481,58.8889,19.2593,4.321,66667,18.8988,9.375,9.0774
"95312, Cressey, CA",95312,70.7379,29.2621,4664.1791,25.2632,44.2105,5.8524,33.4,2.2901,30.5344,43.5115,47.5827,15.0127,6.1069,60938,39.2361,35.0694,5.9028
"90021, Los Angeles, CA",90021,69.8273,30.1727,2989.072,36.3458,47.446,39.3021,43.9,1.2337,20.6204,38.7029,40.3243,31.4064,5.7455,17634,19.9582,36.0752,13.0689
"93212, Corcoran, CA",93212,69.7219,30.2781,4112.0202,28.5945,31.129,4.94,33.7,1.4875,14.7819,68.619,32.8643,10.9533,0.8832,39776,26.0784,41.3544,2.9086
"93204, Avenal, CA",93204,69.1946,30.8054,3954.5255,18.75,17.0122,4.885,32.7,1.2034,10.3397,76.928,34.4727,7.7334,0.6979,37617,21.6632,51.5342,3.307
