"","OSHPD_ID","FACILITY_NAME","LICENSE_NUM","FACILITY_LEVEL_DESC","DBA_ADDRESS1","DBA_CITY","DBA_ZIP_CODE","COUNTY_CODE","COUNTY_NAME","ER_SERVICE_LEVEL_DESC","TOTAL_NUMBER_BEDS","FACILITY_STATUS_DESC","FACILITY_STATUS_DATE","LICENSE_TYPE_DESC","LICENSE_CATEGORY_DESC","LATITUDE","LONGITUDE"
"1",106014034,"FREMONT HOSPITAL","140000347","Parent Facility","39001 SUNDALE DRIVE","FREMONT",94538,1,"ALAMEDA","Not Applicable",148,"Open","2/16/90","Hospital","Acute Psychiatric Hospital",37.54652,-121.97885
"2",106014207,"TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY","M02016036","Parent Facility","2633 EAST 27TH STREET","OAKLAND",94601,1,"ALAMEDA","Not Applicable",26,"Open","8/16/05","Hospital","Psychiatric Health Facility",37.79127,-122.22257
"3",106014226,"TELECARE WILLOW ROCK CENTER","M02016039","Parent Facility","2050 FAIRMONT DRIVE","SAN LEANDRO",94578,1,"ALAMEDA","Not Applicable",16,"Open","7/2/07","Hospital","Psychiatric Health Facility",37.71008,-122.12149
"4",106044006,"BUTTE COUNTY MENTAL HEALTH SERVICES","M01016001","Parent Facility","592 RIO LINDO AVENUE","CHICO",95926,4,"BUTTE","Not Applicable",16,"Open","1/29/88","Hospital","Psychiatric Health Facility",39.754281,-121.8482488
"5",106074039,"JOHN MUIR BEHAVIORAL HEALTH CENTER","140000418","Parent Facility","2740 GRANT STREET","CONCORD",94520,7,"CONTRA COSTA","Not Applicable",73,"Open","3/10/93","Hospital","Acute Psychiatric Hospital",37.98921,-122.04081
"6",106094002,"TELECARE EL DORADO COUNTY P.H.F.","M20016057","Parent Facility","935-B SPRING STREET","PLACERVILLE",95667,9,"EL DORADO","Not Applicable",16,"Open","1/29/88","Hospital","Psychiatric Health Facility",38.7322,-120.80275
"7",106104089,"EXODUS PSYCHIATRIC HEALTH FACILITY FRESNO","M20016059","Parent Facility","4411 E. KINGS CANYON ROAD","FRESNO",93702,10,"FRESNO","Not Applicable",16,"Open","1/1/16","Hospital","Psychiatric Health Facility",36.73596,-119.75162
"8",106105051,"DEPARTMENT OF STATE HOSPITAL - COALINGA","550000061","Parent Facility","24511 WEST JAYNE AVENUE","COALINGA",93210,10,"FRESNO","Not Applicable",1500,"Open","8/25/05","Hospital","Acute Psychiatric Hospital",36.13724021,-120.237238
"9",106105125,"CENTRAL STAR PSYCHIATRIC HEALTH FACILITY","M20016058","Parent Facility","4411 E. KINGS CANYON ROAD","FRESNO",93702,10,"FRESNO","Not Applicable",16,"Open","4/17/15","Hospital","Psychiatric Health Facility",36.73596,-119.75162
"10",106124004,"SEMPERVIRENS P.H.F.","M01016003","Parent Facility","720 WOOD STREET","EUREKA",95501,12,"HUMBOLDT","Not Applicable",16,"Open","1/29/88","Hospital","Psychiatric Health Facility",40.78109,-124.16126
