Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,Record Type,Longitude,Latitude,Primary NAICS Description,Primary SIC Description
Mental Health Svc-San Luis,Karen,Baylor,2178 Johnson Ave,San Luis Obispo,CA,93401,Verified,-120.646559,35.274597,Administration Of Public Health Programs,County Government-Public Health Programs
Merced County Mental Health,Trechann,Barber-Jacinto,3305 G St,Merced,CA,95340,Verified,-120.469674,37.323942,Administration Of Public Health Programs,County Government-Public Health Programs
Santa Clara County,Gary,Goodman,231 Grant Ave,Palo Alto,CA,94306,Verified,-122.141426,37.426734,Administration Of Public Health Programs,County Government-Public Health Programs
Turning Point Of Central Ca,Scott,Hollander,615 S Atwood St,Visalia,CA,93277,Verified,-119.34737,36.325215,Administration Of Public Health Programs,County Government-Public Health Programs
Transitions-Mental Health Assn,Tammy,Franck,215 Inger Dr,Santa Maria,CA,93454,Verified,-120.434515,34.926638,All Other Misc Ambulatory Health Care Services,Health & Welfare Agencies
Advances & Mental Health,Yvette,Stepanoff,18672 Florida St,Huntington Beach,CA,92648,Verified,-117.990428,33.691137,All Other Misc Ambulatory Health Care Services,Health Services
American River Residential Svc,Nancy,Soncrant,4741 Engle Rd,Carmichael,CA,95608,Verified,-121.354175,38.632932,All Other Misc Ambulatory Health Care Services,Health Services
Angel Of Faith Non Profit Org,Luis,Cruz,4996 LA Sierra Ave,Riverside,CA,92505,Verified,-117.490339,33.921038,All Other Misc Ambulatory Health Care Services,Health Services
Axis Community Health Ctr Dui,Jennifer,Penney,6666 Owens Dr,Pleasanton,CA,94588,Verified,-121.91015,37.698644,All Other Misc Ambulatory Health Care Services,Health Services
Beacon Health Strategies,,,1055 W 7th St # 10,Los Angeles,CA,90017,Verified,-118.263341,34.050898,All Other Misc Ambulatory Health Care Services,Health Services
Behavioral Health Works,Rob,Douk,1301 E Orangewood Ave,Anaheim,CA,92805,Verified,-117.892644,33.796719,All Other Misc Ambulatory Health Care Services,Health Services
BHR Corporate Office,Neisha,Becton,5674 Stoneridge Dr # 116,Pleasanton,CA,94588,Verified,-121.887526,37.690344,All Other Misc Ambulatory Health Care Services,Health Services
Child Guidance Ctr-Family Ctr,Lori,Pack,6301 Beach Blvd # 245,Buena Park,CA,90621,Verified,-117.998783,33.868885,All Other Misc Ambulatory Health Care Services,Health Services
Clearwater Management Inc,,,5300 Santa Monica Blvd # 205,Los Angeles,CA,90029,Verified,-118.305471,34.090385,All Other Misc Ambulatory Health Care Services,Health Services
Coalition Of Mental Health Pro,Sandra,Cox,9219 S Broadway,Los Angeles,CA,90003,Verified,-118.27865,33.952278,All Other Misc Ambulatory Health Care Services,Health Services
Community Health Ctr,Sue,Feliciano,425 W Central Ave # 201,Lompoc,CA,93436,Verified,-120.46163,34.661468,All Other Misc Ambulatory Health Care Services,Health Services
Courtyard Community,Robert,Pitts,2370 Buhne St,Eureka,CA,95501,Verified,-124.141477,40.785402,All Other Misc Ambulatory Health Care Services,Health Services
Crestwood,Fidel,Garabay,153 N U St,Fresno,CA,93701,Verified,-119.780603,36.744432,All Other Misc Ambulatory Health Care Services,Health Services
Crestwood Behavioral Health,Pamela,Norris,295 Pine Breeze Dr,Angwin,CA,94508,Verified,-122.456759,38.561266,All Other Misc Ambulatory Health Care Services,Health Services
Crestwood Behavioral Health,Cindy,Robins,1425 Fruitdale Ave,San Jose,CA,95128,Verified,-121.9148,37.310997,All Other Misc Ambulatory Health Care Services,Health Services
Crestwood Behavioral Health,John,Suggs,7590 Shoreline Dr,Stockton,CA,95219,Verified,-121.359421,38.019609,All Other Misc Ambulatory Health Care Services,Health Services
Crestwood Center,Cindy,Metarasl,2600 Stockton Blvd,Sacramento,CA,95817,Verified,-121.456408,38.551958,All Other Misc Ambulatory Health Care Services,Health Services
Crestwood Healing Ctr,Sylvia D,Ward,550 Patterson Blvd,Pleasant Hill,CA,94523,Verified,-122.071999,37.934708,All Other Misc Ambulatory Health Care Services,Health Services
Crestwood Manor,Laurie,Blaufus,1400 Celeste Dr,Modesto,CA,95355,Verified,-120.972559,37.672261,All Other Misc Ambulatory Health Care Services,Health Services
Crestwood Manor,Henry,Yrlas,1130 Monaco Ct,Stockton,CA,95207,Verified,-121.319367,37.988558,All Other Misc Ambulatory Health Care Services,Health Services
Crestwood Psychiatric Health,Robin,Goodell,6700 Eucalyptus Dr # A,Bakersfield,CA,93306,Verified,-118.929712,35.365757,All Other Misc Ambulatory Health Care Services,Health Services
Crestwood Treatment Ctr,Janet,Trimble,2171 Mowry Ave,Fremont,CA,94538,Verified,-121.982726,37.558625,All Other Misc Ambulatory Health Care Services,Health Services
Dhmg Behavioral Health,,,1792 Tribute Rd,Sacramento,CA,95815,Verified,-121.445951,38.598239,All Other Misc Ambulatory Health Care Services,Health Services
El Hogar Community Svc,Ken,Eskow,3780 Rosin Ct # 110,Sacramento,CA,95834,Verified,-121.473108,38.636259,All Other Misc Ambulatory Health Care Services,Health Services
Enki Health & Research System,Tusia,Steidle,2130 E 1st St,Los Angeles,CA,90033,Verified,-118.212565,34.044358,All Other Misc Ambulatory Health Care Services,Health Services
Enki Health & Research Systs,Hsiang,Hsyeh,560 S St Louis St,Los Angeles,CA,90033,Verified,-118.216937,34.039103,All Other Misc Ambulatory Health Care Services,Health Services
Estudysite Research Excellence,Marci,Smith,3998 Vista Way # 102,Oceanside,CA,92056,Verified,-117.292601,33.184247,All Other Misc Ambulatory Health Care Services,Health Services
Gardner Health Ctr,Efrain,Coria,195 E Virginia St,San Jose,CA,95112,Verified,-121.877788,37.32611,All Other Misc Ambulatory Health Care Services,Health Services
Health Services Cal Dept,Karl,Verick,727 Cedar St,Garberville,CA,95542,Verified,-123.792693,40.101653,All Other Misc Ambulatory Health Care Services,Health Services
Hoag Neuro Behavioral Health,Marshall,Moncrief,1 Hoag Dr,Newport Beach,CA,92663,Verified,-117.929173,33.624649,All Other Misc Ambulatory Health Care Services,Health Services
Idalia Razo Mft,Vivian,Caldiron,3300 E South St # 203,Lakewood,CA,90805,Verified,-118.153635,33.859494,All Other Misc Ambulatory Health Care Services,Health Services
Kaiser Permanente Behavioral,,,44444 20th St W,Lancaster,CA,93534,Verified,-118.165035,34.69057,All Other Misc Ambulatory Health Care Services,Health Services
Kaiser Permanente Cyn Crest,,,5225 Canyon Crest Dr # 100,Riverside,CA,92507,Verified,-117.331262,33.956095,All Other Misc Ambulatory Health Care Services,Health Services
Kaiser Permanente Main Street,Ann,LA Fever,23621 Main St,Carson,CA,90745,Verified,-118.2762,33.810612,All Other Misc Ambulatory Health Care Services,Health Services
Kaiser Permanente West Covina,Frances,Gonzalez,1511 W Garvey Ave N,West Covina,CA,91790,Verified,-117.938412,34.073066,All Other Misc Ambulatory Health Care Services,Health Services
LA Child Guidance Clinic,Richard,Saneda,4401 Crenshaw Blvd # 300,Los Angeles,CA,90043,Verified,-118.332148,34.003215,All Other Misc Ambulatory Health Care Services,Health Services
Mental Health Assn-Orange,Jennifer,Lanston,3540 Howard Way,Costa Mesa,CA,92626,Verified,-117.927001,33.698258,All Other Misc Ambulatory Health Care Services,Health Services
Mental Health Client Actio,Linda,Kiva,1051 Cayuga St,Santa Cruz,CA,95062,Verified,-122.01186,36.978993,All Other Misc Ambulatory Health Care Services,Health Services
Mental Health Los Angeles,Katty,Callendar,240 E 20th St,Long Beach,CA,90806,Verified,-118.1899,33.793298,All Other Misc Ambulatory Health Care Services,Health Services
Mental Health Svc,Rebecca,Blumling,1965 Live Oak Blvd,Yuba City,CA,95991,Verified,-121.618919,39.155804,All Other Misc Ambulatory Health Care Services,Health Services
Mental Health Systems,Maryann,Nycum,560 Greenbrier Dr # D,Oceanside,CA,92054,Verified,-117.355108,33.195308,All Other Misc Ambulatory Health Care Services,Health Services
Mental Health-Autism Health,,,346 Rheem Blvd,Moraga,CA,94556,Verified,-122.129671,37.860866,All Other Misc Ambulatory Health Care Services,Health Services
Mind Health Institute Pasdena,,,200 E Del Mar Blvd,Pasadena,CA,91105,Verified,-118.146358,34.140449,All Other Misc Ambulatory Health Care Services,Health Services
Mindful Health LA,Andrena,Mc Groarty,5855 E Naples Plz # 307,Long Beach,CA,90803,Verified,-118.119448,33.755979,All Other Misc Ambulatory Health Care Services,Health Services
Momentum For Mental Health,Melinda,Golden,438 N White Rd,San Jose,CA,95127,Verified,-121.83762,37.377832,All Other Misc Ambulatory Health Care Services,Health Services
Momentum Health,,,125 Lowell Ave,Palo Alto,CA,94301,Verified,-122.148906,37.434696,All Other Misc Ambulatory Health Care Services,Health Services
North American Mental Health,,,255 W Court St,Woodland,CA,95695,Verified,-121.795282,38.678469,All Other Misc Ambulatory Health Care Services,Health Services
North County Health Svc,Irma,Cota,150 Valpreda Rd,San Marcos,CA,92069,Verified,-117.157072,33.140205,All Other Misc Ambulatory Health Care Services,Health Services
Our House,Gail,Mc Donald,2201 Tuolumne St,Vallejo,CA,94589,Verified,-122.241202,38.130739,All Other Misc Ambulatory Health Care Services,Health Services
Pasadena Family Therapy,Morella,Hammer,15720 Ventura Blvd # 504,Encino,CA,91436,Verified,-118.475778,34.155262,All Other Misc Ambulatory Health Care Services,Health Services
Professional Mental Health Inc,,,,Santa Clarita,CA,91355,Verified,-118.570671,34.416652,All Other Misc Ambulatory Health Care Services,Health Services
Psychiatric Health Systems,,,4679 Vista St,San Diego,CA,92116,Verified,-117.102978,32.762882,All Other Misc Ambulatory Health Care Services,Health Services
Public Health Svc San Joaquin,Bill,Mitchell,300 W Oak St,Lodi,CA,95240,Verified,-121.276668,38.132756,All Other Misc Ambulatory Health Care Services,Health Services
