City,Hits
Merced,100
Murrieta,91
Perris,88
Bella Vista,87
Stockton,86
Victorville,85
Redlands,85
Salinas,84
Roseville,83
Felton,82
Riverside,81
Hesperia,81
Whittier,81
Davis,81
Berkeley,79
Morro Bay,78
Walnut Creek,78
Pomona,77
Rancho Cucamonga,77
Elk Grove,77
West Covina,77
Santa Barbara,76
San Marcos,76
Chula Vista,76
Concord,75
San Bernardino,75
Menifee,75
Fullerton,75
Palm Desert,75
Goshen,74
Long Beach,73
Mission Viejo,73
Hayward,73
Fontana,73
Rocklin,73
Corona,73
Aliso Viejo,73
Bakersfield,73
Fresno,72
Oakland,72
Alhambra,72
El Cajon,72
San Rafael,72
Cerritos,71
Lancaster,70
Alameda,70
Glendale,70
Pasadena,69
Tustin,69
Santa Rosa,69
