"","year","zipcode","causes_of_death","count"
"1",2015,90001,"SUI",1
"2",2015,90002,"SUI",2
"3",2015,90003,"SUI",4
"4",2015,90004,"SUI",5
"5",2015,90005,"SUI",8
"6",2015,90006,"SUI",7
"7",2015,90007,"SUI",1
"8",2015,90008,"SUI",0
"9",2015,90009,"SUI",0
"10",2015,90010,"SUI",1
"11",2015,90011,"SUI",4
"12",2015,90012,"SUI",5
"13",2015,90013,"SUI",3
"14",2015,90014,"SUI",4
"15",2015,90015,"SUI",1
"16",2015,90016,"SUI",4
"17",2015,90017,"SUI",1
"18",2015,90018,"SUI",1
"19",2015,90019,"SUI",6
"20",2015,90020,"SUI",3
"21",2015,90021,"SUI",1
"22",2015,90022,"SUI",1
"23",2015,90023,"SUI",5
"24",2015,90024,"SUI",5
"25",2015,90025,"SUI",4
"26",2015,90026,"SUI",2
"27",2015,90027,"SUI",5
"28",2015,90028,"SUI",2
"29",2015,90029,"SUI",4
"30",2015,90030,"SUI",0
"31",2015,90031,"SUI",2
"32",2015,90032,"SUI",5
"33",2015,90033,"SUI",2
"34",2015,90034,"SUI",3
"35",2015,90035,"SUI",2
"36",2015,90036,"SUI",4
"37",2015,90037,"SUI",2
"38",2015,90038,"SUI",2
"39",2015,90039,"SUI",1
"40",2015,90040,"SUI",0
"41",2015,90041,"SUI",5
"42",2015,90042,"SUI",8
"43",2015,90043,"SUI",2
"44",2015,90044,"SUI",2
"45",2015,90045,"SUI",1
"46",2015,90046,"SUI",7
"47",2015,90047,"SUI",2
"48",2015,90048,"SUI",3
"49",2015,90049,"SUI",3
"50",2015,90051,"SUI",0
"51",2015,90052,"SUI",0
"52",2015,90053,"SUI",0
"53",2015,90056,"SUI",0
"54",2015,90057,"SUI",5
"55",2015,90058,"SUI",0
"56",2015,90059,"SUI",3
"57",2015,90060,"SUI",0
"58",2015,90061,"SUI",0
"59",2015,90062,"SUI",2
"60",2015,90063,"SUI",1
"61",2015,90064,"SUI",0
"62",2015,90065,"SUI",3
"63",2015,90066,"SUI",10
"64",2015,90067,"SUI",1
"65",2015,90068,"SUI",4
"66",2015,90069,"SUI",1
"67",2015,90071,"SUI",0
"68",2015,90073,"SUI",0
"69",2015,90077,"SUI",0
"70",2015,90085,"SUI",0
"71",2015,90086,"SUI",0
"72",2015,90093,"SUI",0
"73",2015,90094,"SUI",0
"74",2015,90095,"SUI",0
"75",2015,90096,"SUI",0
"76",2015,90114,"SUI",0
"77",2015,90132,"SUI",0
"78",2015,90200,"SUI",0
"79",2015,90201,"SUI",3
"80",2015,90202,"SUI",0
"81",2015,90205,"SUI",0
"82",2015,90207,"SUI",0
"83",2015,90208,"SUI",0
"84",2015,90209,"SUI",0
"85",2015,90210,"SUI",3
"86",2015,90211,"SUI",1
"87",2015,90212,"SUI",2
"88",2015,90213,"SUI",0
"89",2015,90214,"SUI",0
"90",2015,90218,"SUI",0
"91",2015,90220,"SUI",4
"92",2015,90221,"SUI",1
"93",2015,90222,"SUI",1
"94",2015,90230,"SUI",1
"95",2015,90231,"SUI",0
"96",2015,90232,"SUI",3
"97",2015,90233,"SUI",0
"98",2015,90240,"SUI",2
"99",2015,90241,"SUI",4
"100",2015,90242,"SUI",3
"101",2015,90244,"SUI",0
"102",2015,90245,"SUI",1
"103",2015,90246,"SUI",0
"104",2015,90247,"SUI",1
"105",2015,90248,"SUI",3
"106",2015,90249,"SUI",2
"107",2015,90250,"SUI",11
"108",2015,90252,"SUI",0
"109",2015,90254,"SUI",3
"110",2015,90255,"SUI",3
"111",2015,90256,"SUI",0
"112",2015,90259,"SUI",0
"113",2015,90260,"SUI",3
"114",2015,90262,"SUI",1
"115",2015,90265,"SUI",0
"116",2015,90266,"SUI",3
"117",2015,90267,"SUI",0
"118",2015,90269,"SUI",0
"119",2015,90270,"SUI",1
"120",2015,90271,"SUI",0
"121",2015,90272,"SUI",5
"122",2015,90273,"SUI",0
"123",2015,90274,"SUI",3
"124",2015,90275,"SUI",5
